epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1062.18,0.92705,0.55113,0.92382,0.85768,0.76235,0.8467,0.6257,0.86997,0.51597,0.88646,0.000848969,0.000848969,0.000848969
43,1087.36,0.92219,0.5521,0.91573,0.94595,0.80059,0.87422,0.65366,0.87761,0.50168,0.88957,0.000834822,0.000834822,0.000834822
44,1112.52,0.90869,0.53894,0.91476,0.85586,0.74068,0.84158,0.63472,0.83202,0.49452,0.88025,0.000820675,0.000820675,0.000820675
45,1137.3,0.90917,0.54163,0.91736,0.90597,0.77483,0.83397,0.62235,0.82587,0.48174,0.87832,0.000806528,0.000806528,0.000806528
46,1162.37,0.89692,0.53919,0.9194,0.95346,0.81823,0.87611,0.66014,0.87542,0.50067,0.88935,0.00079238,0.00079238,0.00079238
47,1187.48,0.89831,0.53636,0.91724,0.97245,0.82707,0.90855,0.68499,0.81987,0.49163,0.87741,0.000778233,0.000778233,0.000778233
48,1212.73,0.87641,0.52528,0.91284,0.94431,0.78167,0.85652,0.66515,0.8231,0.48329,0.87766,0.000764086,0.000764086,0.000764086
49,1237.53,0.87632,0.52179,0.91379,0.92848,0.87178,0.9002,0.69447,0.8053,0.47084,0.87325,0.000749939,0.000749939,0.000749939
50,1262.62,0.86829,0.51837,0.91029,0.92965,0.83535,0.8885,0.65879,0.8183,0.46933,0.87074,0.000735792,0.000735792,0.000735792
51,1287.56,0.88654,0.52418,0.91111,0.91693,0.85003,0.88706,0.66383,0.80968,0.4816,0.87368,0.000721645,0.000721645,0.000721645
52,1312.57,0.858,0.51032,0.90564,0.81656,0.8298,0.86959,0.66083,0.81416,0.46788,0.87387,0.000707498,0.000707498,0.000707498
53,1337.47,0.87381,0.51191,0.9077,0.96571,0.85363,0.90997,0.69189,0.78705,0.45489,0.86775,0.000693351,0.000693351,0.000693351
54,1362.32,0.86181,0.51428,0.90337,0.94209,0.8643,0.90425,0.6822,0.78715,0.4605,0.86883,0.000679204,0.000679204,0.000679204
55,1387.14,0.84863,0.50701,0.90619,0.91607,0.82508,0.90192,0.70672,0.78712,0.45721,0.86527,0.000665057,0.000665057,0.000665057
56,1412.19,0.84973,0.51014,0.90462,0.95189,0.8677,0.90603,0.69931,0.7825,0.4541,0.86598,0.000650909,0.000650909,0.000650909
57,1437.04,0.83535,0.49886,0.90454,0.9364,0.86292,0.90028,0.70272,0.7693,0.44961,0.86434,0.000636762,0.000636762,0.000636762
58,1461.89,0.8325,0.49494,0.90243,0.95013,0.85162,0.90861,0.71738,0.75739,0.43989,0.86196,0.000622615,0.000622615,0.000622615
59,1486.82,0.8573,0.50684,0.90549,0.94766,0.80367,0.88769,0.69538,0.761,0.44594,0.86215,0.000608468,0.000608468,0.000608468
60,1511.71,0.82575,0.49102,0.89912,0.92744,0.81668,0.88389,0.68009,0.76158,0.44469,0.86434,0.000594321,0.000594321,0.000594321
61,1536.58,0.83649,0.49615,0.8972,0.96018,0.87416,0.9098,0.71949,0.74544,0.43799,0.86095,0.000580174,0.000580174,0.000580174
62,1561.59,0.81465,0.4855,0.89198,0.98541,0.88437,0.91379,0.71743,0.73806,0.43176,0.85663,0.000566027,0.000566027,0.000566027
63,1586.29,0.81351,0.48185,0.89075,0.94779,0.88048,0.91227,0.72527,0.72592,0.42615,0.85431,0.00055188,0.00055188,0.00055188
64,1611.33,0.79786,0.47761,0.88985,0.9813,0.89448,0.91706,0.72103,0.73802,0.43163,0.85783,0.000537733,0.000537733,0.000537733
65,1636.19,0.78915,0.47731,0.88824,0.96175,0.88947,0.91115,0.73235,0.72813,0.42826,0.85451,0.000523586,0.000523586,0.000523586
66,1661.25,0.80221,0.48132,0.891,0.95383,0.86242,0.90633,0.72577,0.72268,0.42454,0.85315,0.000509438,0.000509438,0.000509438
67,1686.17,0.79706,0.47759,0.89419,0.95426,0.87801,0.91602,0.71764,0.72774,0.42118,0.85264,0.000495291,0.000495291,0.000495291
68,1710.94,0.78678,0.47276,0.89043,0.94096,0.82691,0.88548,0.71232,0.70673,0.42008,0.84998,0.000481144,0.000481144,0.000481144
69,1735.87,0.7874,0.4699,0.88886,0.98721,0.8901,0.92355,0.72605,0.71731,0.42116,0.85399,0.000466997,0.000466997,0.000466997
70,1760.85,0.77951,0.47154,0.8882,0.93301,0.87462,0.91584,0.73152,0.7077,0.41717,0.84993,0.00045285,0.00045285,0.00045285
71,1785.78,0.76971,0.46546,0.88674,0.95246,0.88271,0.9243,0.74204,0.7012,0.41999,0.85,0.000438703,0.000438703,0.000438703
72,1810.71,0.76557,0.46155,0.88694,0.98979,0.87545,0.92556,0.75417,0.69487,0.40725,0.8504,0.000424556,0.000424556,0.000424556
73,1835.75,0.76331,0.45787,0.88095,0.93493,0.91256,0.92933,0.76103,0.69323,0.40791,0.84817,0.000410409,0.000410409,0.000410409
74,1860.85,0.74898,0.45768,0.88479,0.95503,0.89875,0.93071,0.74724,0.68061,0.40417,0.84687,0.000396262,0.000396262,0.000396262
75,1885.69,0.74581,0.44829,0.87837,0.96563,0.89416,0.93395,0.73246,0.67661,0.40507,0.84591,0.000382115,0.000382115,0.000382115
76,1910.52,0.75679,0.45367,0.88123,0.95456,0.91413,0.92883,0.74813,0.67512,0.39885,0.84675,0.000367967,0.000367967,0.000367967
77,1935.28,0.74117,0.4443,0.87912,0.95289,0.91499,0.93047,0.74697,0.6674,0.39612,0.84319,0.00035382,0.00035382,0.00035382
78,1960.14,0.74647,0.44797,0.87997,0.96983,0.90209,0.93857,0.76491,0.65843,0.3951,0.84169,0.000339673,0.000339673,0.000339673
79,1985.17,0.74748,0.45182,0.88306,0.98113,0.89631,0.93837,0.76234,0.66815,0.40011,0.84213,0.000325526,0.000325526,0.000325526
80,2010.05,0.73093,0.44423,0.8777,0.99276,0.90908,0.93579,0.76326,0.65596,0.39161,0.8409,0.000311379,0.000311379,0.000311379
81,2035.01,0.72951,0.44044,0.87721,0.96432,0.89534,0.93755,0.77721,0.65516,0.38858,0.84135,0.000297232,0.000297232,0.000297232
82,2060.21,0.71953,0.43462,0.87096,0.97316,0.91314,0.9385,0.77717,0.65759,0.39438,0.84116,0.000283085,0.000283085,0.000283085
83,2085.22,0.70945,0.42924,0.87004,0.98571,0.90777,0.94588,0.7941,0.63614,0.38254,0.8381,0.000268938,0.000268938,0.000268938
84,2110.28,0.7105,0.42814,0.87499,0.96518,0.89859,0.94295,0.77852,0.64243,0.38416,0.83907,0.000254791,0.000254791,0.000254791
85,2135.21,0.70609,0.4284,0.86765,0.96904,0.91083,0.93759,0.78406,0.64671,0.38418,0.84041,0.000240644,0.000240644,0.000240644
86,2159.94,0.71044,0.43051,0.87359,0.9884,0.91404,0.94493,0.78932,0.6339,0.37853,0.83873,0.000226497,0.000226497,0.000226497
87,2184.83,0.68439,0.41687,0.86609,0.984,0.91263,0.94154,0.78069,0.6332,0.38387,0.83734,0.000212349,0.000212349,0.000212349
88,2209.71,0.69735,0.421,0.86912,0.98238,0.91792,0.93859,0.76996,0.62826,0.38077,0.83605,0.000198202,0.000198202,0.000198202
89,2234.52,0.69199,0.42259,0.86818,0.97125,0.91395,0.94095,0.78276,0.62661,0.37833,0.83545,0.000184055,0.000184055,0.000184055
90,2259.37,0.68829,0.42012,0.86962,0.96511,0.91579,0.94454,0.79994,0.61664,0.37406,0.83419,0.000169908,0.000169908,0.000169908
91,2285.04,0.63622,0.38721,0.85098,0.96354,0.91576,0.93673,0.77417,0.6328,0.3794,0.83562,0.000155761,0.000155761,0.000155761
92,2309.99,0.61148,0.37478,0.84584,0.99147,0.91418,0.9331,0.77282,0.62173,0.37643,0.8344,0.000141614,0.000141614,0.000141614
93,2334.63,0.60363,0.36799,0.84797,0.99088,0.91019,0.9359,0.78382,0.61471,0.37053,0.83374,0.000127467,0.000127467,0.000127467
94,2359.19,0.61014,0.3707,0.84513,0.99242,0.90408,0.93355,0.78238,0.6104,0.36912,0.83333,0.00011332,0.00011332,0.00011332
95,2383.6,0.5993,0.36813,0.84327,0.9862,0.91221,0.9338,0.78363,0.60546,0.36708,0.83207,9.91726e-05,9.91726e-05,9.91726e-05
96,2408.25,0.59736,0.36465,0.84368,0.98873,0.91062,0.9388,0.78508,0.60159,0.36562,0.83051,8.50255e-05,8.50255e-05,8.50255e-05
97,2432.92,0.59121,0.36286,0.84009,0.98895,0.91354,0.93703,0.78842,0.60063,0.36419,0.83137,7.08784e-05,7.08784e-05,7.08784e-05
98,2457.57,0.59081,0.36496,0.84306,0.98819,0.91215,0.93353,0.7826,0.5974,0.36359,0.83041,5.67313e-05,5.67313e-05,5.67313e-05
99,2482.01,0.58364,0.35847,0.84029,0.98538,0.91117,0.93377,0.7898,0.59253,0.36104,0.82961,4.25842e-05,4.25842e-05,4.25842e-05
100,2506.57,0.58132,0.35592,0.83894,0.9856,0.91066,0.93514,0.79526,0.59024,0.35976,0.82918,2.84371e-05,2.84371e-05,2.84371e-05
